Implementation Order,Issue ID,Title,Description,Parent Story,Epic,Feature,Milestone,Labels,Dependencies,Acceptance Criteria
12,T-03-03,[T-03-03] Add request ID propagation,X-Request-ID generate or preserve; in logs and response headers.,US-03,EPIC-01,F-INFRA,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, backend, parent:US-03",T-03-02,"UUID generated if absent; header returned; unit tests"
13,T-05-01,[T-05-01] Implement MinIO client wrapper,Reusable MinIO client with upload download from settings.,US-05,EPIC-01,F-INFRA,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, backend, parent:US-05","T-02-03, T-04-02","upload and download bytes; typed errors"
14,T-05-02,[T-05-02] Implement content-hash key generator,SHA-256 hash and deterministic object key builder.,US-05,EPIC-01,F-INFRA,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, backend, parent:US-05",T-05-01,"SHA-256 correct; deterministic keys; unit tests"
15,T-05-03,[T-05-03] Implement AssetVersion create on upload,store_asset uploads to MinIO and creates asset_versions row.,US-05,EPIC-01,F-INFRA,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, backend, parent:US-05","T-05-02, T-04-03","returns AssetVersion; version increments; hash matches"
16,T-05-04,[T-05-04] Integration test upload round-trip,Integration test store_asset round-trip hash verify.,US-05,EPIC-01,F-INFRA,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, backend, test, parent:US-05",T-05-03,"bytes match; hash in DB; dedup policy tested"
17,T-06-01,[T-06-01] Create Ollama connectivity test script,scripts/smoke/test_ollama.py generates text in <30s.,US-06,EPIC-01,F-INFRA,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, ai, test, parent:US-06","T-02-04, T-02-06","exits 0; <30s; documented in README"
18,T-06-02,[T-06-02] Pin and test ComfyUI SDXL workflow JSON,Pinned workflow JSON and smoke script producing PNG to MinIO.,US-06,EPIC-01,F-INFRA,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, ai, test, parent:US-06","T-06-01, T-05-03","workflow in configs; PNG in MinIO; exits 0"
19,T-06-03,[T-06-03] Document GPU sequencing rule in worker README,Document Ollama unload before ComfyUI; no concurrent GPU.,US-06,EPIC-01,F-INFRA,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, docs, ai, parent:US-06","T-06-01, T-06-02","worker README; gpu-sequencing runbook; no OOM procedure"
20,T-01-01,[T-01-01] Create projects table migration,Verify projects table with id title status created_at.,US-01,EPIC-03,F-01,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, backend, parent:US-01",T-04-02,"projects table exists; ACTIVE status; PK and timestamp"
21,T-01-02,[T-01-02] Implement seed script for default project,Idempotent seed for AIMPOS Spark Demo on startup.,US-01,EPIC-03,F-01,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, backend, parent:US-01","T-01-01, T-04-03","one project on fresh DB; no duplicate on restart"
22,T-01-03,[T-01-03] Add GET /projects endpoint,GET /projects returns id title status.,US-01,EPIC-03,F-01,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, backend, parent:US-01",T-01-02,"200 JSON array; one ACTIVE project; OpenAPI"
23,T-01-04,[T-01-04] Unit test project repository,Unit tests for ProjectRepository and seed idempotency.,US-01,EPIC-03,F-01,Sprint 1,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s1, backend, test, parent:US-01",T-01-03,"tests pass in CI; list and seed covered"
24,T-26-01,[T-26-01] Build app shell with React Router,Vite React app with routes for Dashboard Review Assets Audit.,US-26,EPIC-06,F-16,Sprint 2,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s2, frontend, parent:US-26","T-02-01, T-02-06","npm build; 4 routes; web in compose"
25,T-26-02,[T-26-02] Implement nav bar and route guards,AppShell nav bar and empty states for Review Audit.,US-26,EPIC-06,F-16,Sprint 2,"aimpos-spark, visual-mvp, task, priority:p0, sprint:s2, frontend, parent:US-26",T-26-01,"nav on all routes; empty states; api client stub; >=768px"
