Work Item Type,ID,Title,Description,Parent ID,Epic ID,Feature ID,Priority,Story Points,Sprint,Labels,Acceptance Criteria
Feature,FEAT-02,Capture Idea,"Title, paragraph, optional style note. F-02.",EPIC-03,EPIC-03,F-02,P0,,S3,feature;F-02,
Feature,FEAT-04,AI Story Generation,Story Architect agent generates treatment. F-04.,EPIC-03,EPIC-03,F-04,P0,,S3,feature;F-04,
Feature,FEAT-05,Story Review & Approval,"Read, edit, approve/reject story. F-05.",EPIC-03,EPIC-03,F-05,P0,,S3,feature;F-05,
Feature,FEAT-06,AI Script Generation,Screenwriter agent generates one-scene Fountain script. F-06.,EPIC-03,EPIC-03,F-06,P0,,S3,feature;F-06,
Feature,FEAT-07,Script Review & Approval,"Preview script, approve/reject. F-07.",EPIC-03,EPIC-03,F-07,P0,,S3,feature;F-07,
Feature,FEAT-08,AI Storyboard Generation,Cinematography agent + ComfyUI frames. F-08.,EPIC-04,EPIC-04,F-08,P0,,S4,feature;F-08,
Feature,FEAT-09,Storyboard Gallery Review,"Grid gallery, approve/reject frames. F-09.",EPIC-04,EPIC-04,F-09,P0,,S4,feature;F-09,
Feature,FEAT-10,AI Short Video Generation,ComfyUI image-to-video from frames. F-10.,EPIC-05,EPIC-05,F-10,P0,,S5,feature;F-10,
Feature,FEAT-11,Video Preview & Approval,In-browser video preview and final approval. F-11.,EPIC-05,EPIC-05,F-11,P0,,S5,feature;F-11,
Feature,FEAT-14,Lineage Summary,Idea to video chain visualization. F-14.,EPIC-05,EPIC-05,F-14,P1,,S5,feature;F-14,
Feature,FEAT-15,Export Final Bundle,ZIP download with manifest.json. F-15.,EPIC-05,EPIC-05,F-15,P1,,S5,feature;F-15,
Feature,FEAT-12,Asset Version History,Browse versions per stage. F-12.,EPIC-06,EPIC-06,F-12,P0,,S4,feature;F-12,
Feature,FEAT-13,Audit Log Viewer,Chronological pipeline event log. F-13.,EPIC-06,EPIC-06,F-13,P0,,S3,feature;F-13,
User Story,US-01,Create default project,"As a creator, I want a default project on startup so I can begin without setup.",FEAT-01,EPIC-03,F-01,P0,2,S1,user-story;backend,"Given fresh deployment, one project AIMPOS Spark Demo exists. GET /projects returns project with status ACTIVE. Pipeline runs list is empty."
User Story,US-02,Deploy MVP stack on Olares,"As a platform engineer, I want Docker Compose for all MVP services.",FEAT-INFRA,EPIC-01,F-INFRA,P0,5,S1,user-story;devops,docker compose up brings 9 containers healthy within 5 min. /health returns 200. MinIO upload/download round-trip works. All services on aimpos-spark network.
User Story,US-03,API health and logging,"As a platform engineer, I want health checks and structured logs.",FEAT-INFRA,EPIC-01,F-INFRA,P0,2,S1,user-story;backend,"GET /health includes postgresql, minio, redis, temporal status. Structured JSON logs with request_id. Failed dependency returns 503."
User Story,US-04,Database schema foundation,"As a backend developer, I want core tables migrated.",FEAT-INFRA,EPIC-01,F-INFRA,P0,3,S1,user-story;backend,"Tables: projects, pipeline_runs, asset_versions, approvals, audit_events, lineage_edges. Rollback works on empty DB. asset_versions has stage, version, minio_key, content_hash, is_ai_generated."
User Story,US-05,MinIO asset upload service,"As a backend developer, I want reusable content-addressable asset storage.",FEAT-INFRA,EPIC-01,F-INFRA,P0,3,S1,user-story;backend,store_asset computes SHA-256 and stores at hash key. Metadata row content_hash matches ETag. Duplicate bytes deduplicated.
User Story,US-06,Ollama and ComfyUI smoke test,"As an AI engineer, I want verified local model endpoints.",FEAT-INFRA,EPIC-01,F-INFRA,P0,3,S1,user-story;ai,Ollama generate responds in <30s. ComfyUI workflow writes PNG to MinIO. Sequential GPU use without OOM.
User Story,US-07,Start pipeline workflow,"As a creator, I want to start production after entering my idea.",FEAT-03,EPIC-02,F-03,P0,5,S2,user-story;workflow,POST /pipeline/start creates SparkPipelineWorkflow. GET /pipeline/status shows STORY_GENERATING or STORY_REVIEW. Duplicate start returns 409. PipelineStarted audit event recorded.
User Story,US-08,Approve or reject stage output,"As a creator, I want to approve or reject AI output at each stage.",FEAT-03,EPIC-02,F-03,P0,5,S2,user-story;workflow,POST /pipeline/approve with GRANT creates immutable approvals row. Approve advances workflow. Reject with note keeps stage. ApprovalGranted audit event logged.
User Story,US-09,Regenerate after rejection,"As a creator, I want to regenerate AI output after rejecting it.",FEAT-03,EPIC-02,F-03,P0,3,S2,user-story;workflow,POST /pipeline/regenerate triggers agent for current stage. New asset_version with incremented version. Max 3 regenerations per stage (429 after). Rejection note passed to agent.
User Story,US-10,View pipeline status dashboard,"As a creator, I want a dashboard showing stage and progress.",FEAT-16,EPIC-02,F-16,P0,3,S2,user-story;frontend,"Dashboard shows stage, status, 5-step progress. REVIEW shows Go to Review CTA. GENERATING polls every 5s. FAILED shows error and Retry."
User Story,US-11,Enter production idea,"As a creator, I want to enter title, paragraph, and style note.",FEAT-02,EPIC-03,F-02,P0,2,S3,user-story;frontend,Submit idea stores idea.txt v1 in MinIO. Style note in metadata. Appears under stage IDEA. Validation on required fields and 50-2000 char paragraph.
User Story,US-12,Generate story from idea,"As a creator, I want Story Architect to generate a treatment.",FEAT-04,EPIC-03,F-04,P0,5,S3,user-story;ai,LangGraph Story Architect invoked. story.md on ai-draft branch. Audit logs model_id and agent. Local-only Ollama. Workflow to STORY_REVIEW.
User Story,US-13,Review and edit story,"As a creator, I want to read, edit, and approve the story.",FEAT-05,EPIC-03,F-05,P0,3,S3,user-story;frontend,Review screen shows editable treatment. Save creates human-edit version. Approve advances pipeline. Reject enables regenerate.
User Story,US-14,Generate one-scene script,"As a creator, I want Screenwriter to generate a Fountain script.",FEAT-06,EPIC-03,F-06,P0,5,S3,user-story;ai,Exactly 1 scene Fountain script. script.fountain is_ai_generated=true. Lineage edge story to script. Workflow to SCRIPT_REVIEW.
User Story,US-15,Review and approve script,"As a creator, I want to preview and approve the script.",FEAT-07,EPIC-03,F-07,P0,3,S3,user-story;frontend,Fountain rendered with formatting. Approve advances to STORYBOARD_GENERATING. Reject/regenerate works. Approved version marked in DB.
User Story,US-16,Generate storyboard frames,"As a creator, I want 4-6 storyboard images from my script.",FEAT-08,EPIC-04,F-08,P0,8,S4,user-story;ai,4-6 PNG frames via ComfyUI. Ollama unloaded before GPU. Lineage script to frames. STORYBOARD_REVIEW on success. Retry 2x then FAILED.
User Story,US-17,Review storyboard gallery,"As a creator, I want to view frames in a grid and approve or reject.",FEAT-09,EPIC-04,F-09,P0,3,S4,user-story;frontend,Responsive grid of 4-6 images. Lightbox preview. Approve-all advances to video. Reject triggers regenerate. AI badge on frames.
User Story,US-18,Generate short video clip,"As a creator, I want a short video from approved frames.",FEAT-10,EPIC-05,F-10,P0,8,S5,user-story;ai,scene_video.mp4 15-30s <=480p. Lineage frames to video. VIDEO_REVIEW on success. Slideshow fallback on failure.
User Story,US-19,Preview and approve video,"As a creator, I want to preview video and complete the pipeline.",FEAT-11,EPIC-05,F-11,P0,3,S5,user-story;frontend,HTML5 player renders video. Approve sets COMPLETED. Reject enables regenerate. PipelineCompleted audit event.
User Story,US-20,View asset lineage chain,"As a creator, I want to see idea to video lineage.",FEAT-14,EPIC-05,F-14,P1,3,S5,user-story;frontend,Ordered chain: idea to story to script to frames to video. Click node shows metadata. Data from lineage_edges PostgreSQL.
User Story,US-21,Download production bundle,"As a creator, I want ZIP of approved assets with manifest.",FEAT-15,EPIC-05,F-15,P1,3,S5,user-story;backend,"ZIP contains all approved assets and manifest.json with hashes, approvals, model IDs. BundleExported audit event."
User Story,US-22,Browse asset versions,"As a creator, I want to see all versions per stage.",FEAT-12,EPIC-06,F-12,P0,3,S4,user-story;frontend,"Versions grouped by stage. Newest first. Preview or download per version. Shows is_ai_generated, branch, content_hash."
User Story,US-23,View audit trail,"As a creator, I want chronological pipeline event log.",FEAT-13,EPIC-06,F-13,P0,3,S3,user-story;frontend,"Events: PipelineStarted, AgentTaskCompleted, ApprovalGranted, Rejected, Completed. Agent events show model_id. Append-only. Included in export."
User Story,US-24,Pipeline survives worker restart,"As a platform engineer, I want workflow resume after restart.",FEAT-03,EPIC-06,F-03,P0,3,S2,user-story;workflow,Worker restart resumes within 2 min. Approve signal works after API restart. No duplicate asset versions.
User Story,US-25,API token authentication,"As a platform engineer, I want Bearer token on mutating endpoints.",FEAT-INFRA,EPIC-06,F-INFRA,P0,2,S2,user-story;security,No token on POST returns 401. Valid Bearer succeeds. Web client sends token from env.
User Story,US-26,App navigation shell,"As a creator, I want nav between Dashboard, Review, Assets, Audit, Export.",FEAT-16,EPIC-06,F-16,P0,2,S2,user-story;frontend,Nav bar on all screens. Empty states when pipeline not started. CTA reflects current stage. Usable at >=768px.
User Story,US-27,MVP demo acceptance validation,"As a product owner, I want demo script executable end-to-end.",FEAT-15,EPIC-05,F-15,P0,2,S5,user-story;qa,All 10 demo steps pass. SC-01 to SC-08 verified. Limitations documented. Stakeholder sign-off.
Task,T-01-01,Create projects table migration,Implementation task for US-01: Create projects table migration,US-01,EPIC-03,F-01,P0,,S1,task,
Task,T-01-02,Implement seed script for default project,Implementation task for US-01: Implement seed script for default project,US-01,EPIC-03,F-01,P0,,S1,task,
Task,T-01-03,Add GET /projects endpoint,Implementation task for US-01: Add GET /projects endpoint,US-01,EPIC-03,F-01,P0,,S1,task,
Task,T-01-04,Unit test project repository,Implementation task for US-01: Unit test project repository,US-01,EPIC-03,F-01,P0,,S1,task,
Task,T-02-01,Write docker-compose.yml for all 9 services,Implementation task for US-02: Write docker-compose.yml for all 9 services,US-02,EPIC-01,F-INFRA,P0,,S1,task,
Task,T-02-02,Configure PostgreSQL volume and init scripts,Implementation task for US-02: Configure PostgreSQL volume and init scripts,US-02,EPIC-01,F-INFRA,P0,,S1,task,
Task,T-02-03,Configure MinIO bucket aimpos-hot-assets on startup,Implementation task for US-02: Configure MinIO bucket aimpos-hot-assets on startup,US-02,EPIC-01,F-INFRA,P0,,S1,task,
Task,T-02-04,Pin Ollama model llama3.1:13b in compose init,Implementation task for US-02: Pin Ollama model llama3.1:13b in compose init,US-02,EPIC-01,F-INFRA,P0,,S1,task,
Task,T-02-05,Document Olares deployment in README,Implementation task for US-02: Document Olares deployment in README,US-02,EPIC-01,F-INFRA,P0,,S1,task,
Task,T-02-06,Verify zero egress during compose startup,Implementation task for US-02: Verify zero egress during compose startup,US-02,EPIC-01,F-INFRA,P0,,S1,task,
Task,T-03-01,Implement /health with dependency probes,Implementation task for US-03: Implement /health with dependency probes,US-03,EPIC-01,F-INFRA,P0,,S1,task,
Task,T-03-02,Add structured logging middleware,Implementation task for US-03: Add structured logging middleware,US-03,EPIC-01,F-INFRA,P0,,S1,task,
Task,T-03-03,Add request ID propagation,Implementation task for US-03: Add request ID propagation,US-03,EPIC-01,F-INFRA,P0,,S1,task,
Task,T-04-01,Define SQLAlchemy models for core tables,Implementation task for US-04: Define SQLAlchemy models for core tables,US-04,EPIC-01,F-INFRA,P0,,S1,task,
Task,T-04-02,Create initial Alembic migration,Implementation task for US-04: Create initial Alembic migration,US-04,EPIC-01,F-INFRA,P0,,S1,task,
Task,T-04-03,Add repository layer interfaces,Implementation task for US-04: Add repository layer interfaces,US-04,EPIC-01,F-INFRA,P0,,S1,task,
Task,T-05-01,Implement MinIO client wrapper,Implementation task for US-05: Implement MinIO client wrapper,US-05,EPIC-01,F-INFRA,P0,,S1,task,
Task,T-05-02,Implement content-hash key generator,Implementation task for US-05: Implement content-hash key generator,US-05,EPIC-01,F-INFRA,P0,,S1,task,
Task,T-05-03,Implement AssetVersion create on upload,Implementation task for US-05: Implement AssetVersion create on upload,US-05,EPIC-01,F-INFRA,P0,,S1,task,
Task,T-05-04,Integration test upload round-trip,Implementation task for US-05: Integration test upload round-trip,US-05,EPIC-01,F-INFRA,P0,,S1,task,
Task,T-06-01,Create Ollama connectivity test script,Implementation task for US-06: Create Ollama connectivity test script,US-06,EPIC-01,F-INFRA,P0,,S1,task,
Task,T-06-02,Pin and test ComfyUI SDXL workflow JSON,Implementation task for US-06: Pin and test ComfyUI SDXL workflow JSON,US-06,EPIC-01,F-INFRA,P0,,S1,task,
Task,T-06-03,Document GPU sequencing rule in worker README,Implementation task for US-06: Document GPU sequencing rule in worker README,US-06,EPIC-01,F-INFRA,P0,,S1,task,
Task,T-07-01,Deploy Temporal server with PostgreSQL persistence,Implementation task for US-07: Deploy Temporal server with PostgreSQL persistence,US-07,EPIC-02,F-03,P0,,S2,task,
Task,T-07-02,Implement SparkPipelineWorkflow skeleton,Implementation task for US-07: Implement SparkPipelineWorkflow skeleton,US-07,EPIC-02,F-03,P0,,S2,task,
Task,T-07-03,Implement POST /pipeline/start API,Implementation task for US-07: Implement POST /pipeline/start API,US-07,EPIC-02,F-03,P0,,S2,task,
Task,T-07-04,Implement GET /pipeline/status API,Implementation task for US-07: Implement GET /pipeline/status API,US-07,EPIC-02,F-03,P0,,S2,task,
Task,T-07-05,Register Temporal worker pod,Implementation task for US-07: Register Temporal worker pod,US-07,EPIC-02,F-03,P0,,S2,task,
Task,T-07-06,Write audit event on pipeline start,Implementation task for US-07: Write audit event on pipeline start,US-07,EPIC-02,F-03,P0,,S2,task,
Task,T-08-01,Implement approval API endpoints,Implementation task for US-08: Implement approval API endpoints,US-08,EPIC-02,F-03,P0,,S2,task,
Task,T-08-02,Wire Temporal approve/reject signals,Implementation task for US-08: Wire Temporal approve/reject signals,US-08,EPIC-02,F-03,P0,,S2,task,
Task,T-08-03,Create immutable approvals table writes,Implementation task for US-08: Create immutable approvals table writes,US-08,EPIC-02,F-03,P0,,S2,task,
Task,T-08-04,Handle reject without workflow advance,Implementation task for US-08: Handle reject without workflow advance,US-08,EPIC-02,F-03,P0,,S2,task,
Task,T-08-05,Integration test approve advances stage,Implementation task for US-08: Integration test approve advances stage,US-08,EPIC-02,F-03,P0,,S2,task,
Task,T-09-01,Implement regenerate endpoint,Implementation task for US-09: Implement regenerate endpoint,US-09,EPIC-02,F-03,P0,,S2,task,
Task,T-09-02,Pass rejection note to activity input,Implementation task for US-09: Pass rejection note to activity input,US-09,EPIC-02,F-03,P0,,S2,task,
Task,T-09-03,Enforce max 3 regenerations per stage,Implementation task for US-09: Enforce max 3 regenerations per stage,US-09,EPIC-02,F-03,P0,,S2,task,
Task,T-09-04,Increment version on regenerate,Implementation task for US-09: Increment version on regenerate,US-09,EPIC-02,F-03,P0,,S2,task,
Task,T-10-01,Implement dashboard API aggregation endpoint,Implementation task for US-10: Implement dashboard API aggregation endpoint,US-10,EPIC-02,F-16,P0,,S2,task,
Task,T-10-02,Build Dashboard screen (React),Implementation task for US-10: Build Dashboard screen (React),US-10,EPIC-02,F-16,P0,,S2,task,
Task,T-10-03,Add 5-stage progress stepper component,Implementation task for US-10: Add 5-stage progress stepper component,US-10,EPIC-02,F-16,P0,,S2,task,
Task,T-10-04,Implement status polling hook,Implementation task for US-10: Implement status polling hook,US-10,EPIC-02,F-16,P0,,S2,task,
Task,T-11-01,Implement POST /ideas endpoint,Implementation task for US-11: Implement POST /ideas endpoint,US-11,EPIC-03,F-02,P0,,S3,task,
Task,T-11-02,Build idea capture form on Dashboard,Implementation task for US-11: Build idea capture form on Dashboard,US-11,EPIC-03,F-02,P0,,S3,task,
Task,T-11-03,Validate input length and required fields,Implementation task for US-11: Validate input length and required fields,US-11,EPIC-03,F-02,P0,,S3,task,
Task,T-11-04,Store idea as asset_version stage=IDEA,Implementation task for US-11: Store idea as asset_version stage=IDEA,US-11,EPIC-03,F-02,P0,,S3,task,
Task,T-12-01,Implement LangGraph Story Architect graph,Implementation task for US-12: Implement LangGraph Story Architect graph,US-12,EPIC-03,F-04,P0,,S3,task,
Task,T-12-02,Implement run_story_agent Temporal activity,Implementation task for US-12: Implement run_story_agent Temporal activity,US-12,EPIC-03,F-04,P0,,S3,task,
Task,T-12-03,Create story prompt template with idea injection,Implementation task for US-12: Create story prompt template with idea injection,US-12,EPIC-03,F-04,P0,,S3,task,
Task,T-12-04,Store story output as asset version,Implementation task for US-12: Store story output as asset version,US-12,EPIC-03,F-04,P0,,S3,task,
Task,T-12-05,Log agent invocation to audit_events,Implementation task for US-12: Log agent invocation to audit_events,US-12,EPIC-03,F-04,P0,,S3,task,
Task,T-12-06,Integration test story generation (mock Ollama),Implementation task for US-12: Integration test story generation (mock Ollama),US-12,EPIC-03,F-04,P0,,S3,task,
Task,T-13-01,Build Review screen — story mode,Implementation task for US-13: Build Review screen — story mode,US-13,EPIC-03,F-05,P0,,S3,task,
Task,T-13-02,Implement PUT /assets/{id} text update,Implementation task for US-13: Implement PUT /assets/{id} text update,US-13,EPIC-03,F-05,P0,,S3,task,
Task,T-13-03,Wire Approve/Reject buttons to pipeline API,Implementation task for US-13: Wire Approve/Reject buttons to pipeline API,US-13,EPIC-03,F-05,P0,,S3,task,
Task,T-13-04,Display rejection note input on reject,Implementation task for US-13: Display rejection note input on reject,US-13,EPIC-03,F-05,P0,,S3,task,
Task,T-14-01,Implement LangGraph Screenwriter graph,Implementation task for US-14: Implement LangGraph Screenwriter graph,US-14,EPIC-03,F-06,P0,,S3,task,
Task,T-14-02,Implement run_script_agent Temporal activity,Implementation task for US-14: Implement run_script_agent Temporal activity,US-14,EPIC-03,F-06,P0,,S3,task,
Task,T-14-03,Add Fountain format validation,Implementation task for US-14: Add Fountain format validation,US-14,EPIC-03,F-06,P0,,S3,task,
Task,T-14-04,Record lineage edge story to script,Implementation task for US-14: Record lineage edge story to script,US-14,EPIC-03,F-06,P0,,S3,task,
Task,T-14-05,Store script asset version,Implementation task for US-14: Store script asset version,US-14,EPIC-03,F-06,P0,,S3,task,
Task,T-15-01,Build Review screen — script mode with Fountain preview,Implementation task for US-15: Build Review screen — script mode with Fountain preview,US-15,EPIC-03,F-07,P0,,S3,task,
Task,T-15-02,Add basic Fountain-to-HTML formatter,Implementation task for US-15: Add basic Fountain-to-HTML formatter,US-15,EPIC-03,F-07,P0,,S3,task,
Task,T-15-03,Wire approve/reject for script stage,Implementation task for US-15: Wire approve/reject for script stage,US-15,EPIC-03,F-07,P0,,S3,task,
Task,T-15-04,Mark approved script version in DB,Implementation task for US-15: Mark approved script version in DB,US-15,EPIC-03,F-07,P0,,S3,task,
Task,T-16-01,Implement Cinematography agent (planning via Ollama),Implementation task for US-16: Implement Cinematography agent (planning via Ollama),US-16,EPIC-04,F-08,P0,,S4,task,
Task,T-16-02,Implement ComfyUI tool — SDXL/Flux workflow,Implementation task for US-16: Implement ComfyUI tool — SDXL/Flux workflow,US-16,EPIC-04,F-08,P0,,S4,task,
Task,T-16-03,Implement run_storyboard_agent Temporal activity,Implementation task for US-16: Implement run_storyboard_agent Temporal activity,US-16,EPIC-04,F-08,P0,,S4,task,
Task,T-16-04,GPU sequencing: unload Ollama before ComfyUI,Implementation task for US-16: GPU sequencing: unload Ollama before ComfyUI,US-16,EPIC-04,F-08,P0,,S4,task,
Task,T-16-05,Store multiple frame assets per run,Implementation task for US-16: Store multiple frame assets per run,US-16,EPIC-04,F-08,P0,,S4,task,
Task,T-16-06,Record lineage edges script to frames,Implementation task for US-16: Record lineage edges script to frames,US-16,EPIC-04,F-08,P0,,S4,task,
Task,T-16-07,ComfyUI error handling and retry,Implementation task for US-16: ComfyUI error handling and retry,US-16,EPIC-04,F-08,P0,,S4,task,
Task,T-17-01,Build Review screen — storyboard gallery mode,Implementation task for US-17: Build Review screen — storyboard gallery mode,US-17,EPIC-04,F-09,P0,,S4,task,
Task,T-17-02,Implement image preview lightbox,Implementation task for US-17: Implement image preview lightbox,US-17,EPIC-04,F-09,P0,,S4,task,
Task,T-17-03,Wire approve-all / reject for storyboard stage,Implementation task for US-17: Wire approve-all / reject for storyboard stage,US-17,EPIC-04,F-09,P0,,S4,task,
Task,T-17-04,Display AI badge and model on frames,Implementation task for US-17: Display AI badge and model on frames,US-17,EPIC-04,F-09,P0,,S4,task,
Task,T-18-01,Implement ComfyUI image-to-video workflow,Implementation task for US-18: Implement ComfyUI image-to-video workflow,US-18,EPIC-05,F-10,P0,,S5,task,
Task,T-18-02,Implement run_video_agent Temporal activity,Implementation task for US-18: Implement run_video_agent Temporal activity,US-18,EPIC-05,F-10,P0,,S5,task,
Task,T-18-03,Implement slideshow fallback generator (FFmpeg),Implementation task for US-18: Implement slideshow fallback generator (FFmpeg),US-18,EPIC-05,F-10,P0,,S5,task,
Task,T-18-04,Store video asset with duration/resolution metadata,Implementation task for US-18: Store video asset with duration/resolution metadata,US-18,EPIC-05,F-10,P0,,S5,task,
Task,T-18-05,Record lineage frames to video,Implementation task for US-18: Record lineage frames to video,US-18,EPIC-05,F-10,P0,,S5,task,
Task,T-18-06,End-to-end GPU test on Olares hardware,Implementation task for US-18: End-to-end GPU test on Olares hardware,US-18,EPIC-05,F-10,P0,,S5,task,
Task,T-19-01,Build Review screen — video player mode,Implementation task for US-19: Build Review screen — video player mode,US-19,EPIC-05,F-11,P0,,S5,task,
Task,T-19-02,Wire approve/reject for video stage,Implementation task for US-19: Wire approve/reject for video stage,US-19,EPIC-05,F-11,P0,,S5,task,
Task,T-19-03,Set pipeline status COMPLETED on final approval,Implementation task for US-19: Set pipeline status COMPLETED on final approval,US-19,EPIC-05,F-11,P0,,S5,task,
Task,T-19-04,Write PipelineCompleted audit event,Implementation task for US-19: Write PipelineCompleted audit event,US-19,EPIC-05,F-11,P0,,S5,task,
Task,T-20-01,Implement GET /lineage/{pipeline_run_id} API,Implementation task for US-20: Implement GET /lineage/{pipeline_run_id} API,US-20,EPIC-05,F-14,P1,,S5,task,
Task,T-20-02,Build Lineage summary component on Export screen,Implementation task for US-20: Build Lineage summary component on Export screen,US-20,EPIC-05,F-14,P1,,S5,task,
Task,T-20-03,Render chain visualization (simple list/tree),Implementation task for US-20: Render chain visualization (simple list/tree),US-20,EPIC-05,F-14,P1,,S5,task,
Task,T-21-01,Implement finalize_export Temporal activity,Implementation task for US-21: Implement finalize_export Temporal activity,US-21,EPIC-05,F-15,P1,,S5,task,
Task,T-21-02,Implement GET /export/{pipeline_run_id} ZIP builder,Implementation task for US-21: Implement GET /export/{pipeline_run_id} ZIP builder,US-21,EPIC-05,F-15,P1,,S5,task,
Task,T-21-03,Generate manifest.json with hashes and metadata,Implementation task for US-21: Generate manifest.json with hashes and metadata,US-21,EPIC-05,F-15,P1,,S5,task,
Task,T-21-04,Build Export screen with download button,Implementation task for US-21: Build Export screen with download button,US-21,EPIC-05,F-15,P1,,S5,task,
Task,T-22-01,Implement GET /assets?project_id=&stage= API,Implementation task for US-22: Implement GET /assets?project_id=&stage= API,US-22,EPIC-06,F-12,P0,,S4,task,
Task,T-22-02,Build Assets screen with stage tabs,Implementation task for US-22: Build Assets screen with stage tabs,US-22,EPIC-06,F-12,P0,,S4,task,
Task,T-22-03,Implement version list and preview components,Implementation task for US-22: Implement version list and preview components,US-22,EPIC-06,F-12,P0,,S4,task,
Task,T-22-04,Add download link per version,Implementation task for US-22: Add download link per version,US-22,EPIC-06,F-12,P0,,S4,task,
Task,T-23-01,Implement GET /audit?pipeline_run_id= API,Implementation task for US-23: Implement GET /audit?pipeline_run_id= API,US-23,EPIC-06,F-13,P0,,S3,task,
Task,T-23-02,Build Audit screen table,Implementation task for US-23: Build Audit screen table,US-23,EPIC-06,F-13,P0,,S3,task,
Task,T-23-03,Standardize audit event schema across worker,Implementation task for US-23: Standardize audit event schema across worker,US-23,EPIC-06,F-13,P0,,S3,task,
Task,T-23-04,Include audit summary in export manifest,Implementation task for US-23: Include audit summary in export manifest,US-23,EPIC-06,F-13,P0,,S3,task,
Task,T-24-01,Configure Temporal worker graceful shutdown,Implementation task for US-24: Configure Temporal worker graceful shutdown,US-24,EPIC-06,F-03,P0,,S2,task,
Task,T-24-02,Test worker restart during review wait,Implementation task for US-24: Test worker restart during review wait,US-24,EPIC-06,F-03,P0,,S2,task,
Task,T-24-03,Test worker restart during activity execution,Implementation task for US-24: Test worker restart during activity execution,US-24,EPIC-06,F-03,P0,,S2,task,
Task,T-24-04,Document recovery behavior,Implementation task for US-24: Document recovery behavior,US-24,EPIC-06,F-03,P0,,S2,task,
Task,T-25-01,Implement Bearer token middleware,Implementation task for US-25: Implement Bearer token middleware,US-25,EPIC-06,F-INFRA,P0,,S2,task,
Task,T-25-02,Configure token via environment variable,Implementation task for US-25: Configure token via environment variable,US-25,EPIC-06,F-INFRA,P0,,S2,task,
Task,T-25-03,Wire token into React API client,Implementation task for US-25: Wire token into React API client,US-25,EPIC-06,F-INFRA,P0,,S2,task,
Task,T-26-01,Build app shell with React Router,Implementation task for US-26: Build app shell with React Router,US-26,EPIC-06,F-16,P0,,S2,task,
Task,T-26-02,Implement nav bar and route guards,Implementation task for US-26: Implement nav bar and route guards,US-26,EPIC-06,F-16,P0,,S2,task,
Task,T-26-03,Add empty states per screen,Implementation task for US-26: Add empty states per screen,US-26,EPIC-06,F-16,P0,,S2,task,
Task,T-27-01,Execute demo acceptance script,Implementation task for US-27: Execute demo acceptance script,US-27,EPIC-05,F-15,P0,,S5,task,
Task,T-27-02,Document success metrics results,Implementation task for US-27: Document success metrics results,US-27,EPIC-05,F-15,P0,,S5,task,
Task,T-27-03,Write MVP release notes,Implementation task for US-27: Write MVP release notes,US-27,EPIC-05,F-15,P0,,S5,task,
Task,T-27-04,Stakeholder demo and sign-off,Implementation task for US-27: Stakeholder demo and sign-off,US-27,EPIC-05,F-15,P0,,S5,task,
